col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 817
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_1010116 56.3465 17.7144 14.5531 11.2947 25.8478 3246.0654 17.173 0.063676 0.0 9.7848 1.0 1.0 2.855 0.0 0.0 25.02 -3.766 -0.8599 4.757 8.739 False
0_1025536 29.2392 9.8642 3.3381 3.0035 6.3416 12159.2324 9.3317 0.33496 19.4676 173.196 0.9939 0.9734 10.3 3.353 -1.356 168.5 -4.605 -27.61 7.398 13.69 True
0_1031085 94.3431 29.5709 21.964 18.7298 40.693799999999996 5437.1587 27.479 0.012287 0.0 0.0 1.0 1.0 1.956 0.0 -0.0 3.524 0.0 -0.0 3.933 6.948 False
0_1037938 81.5873 25.5096 20.0328 16.8712 36.904 6682.689 26.914 0.013549 0.0 0.0 1.0 1.0 2.137 0.0 -0.0 3.76 0.0 -0.0 4.1 7.361 False
0_1069861 29.658 20.2297 15.9307 3.6345 19.5652 10595.6729 312.39 0.9844 29.0459 118.8271 0.9243 -0.911 10.4 -3.916 10.32 59.75 10.12 -0.7579 7.263 10.61 True
0_1075233 70.9919 23.2057 17.9069 15.5226 33.429500000000004 4943.4707 23.149 0.014957 0.0 0.0 1.0 1.0 2.318 0.0 0.0 4.204 -0.0 0.0 4.303 7.729 False
0_1076022 77.2407 23.7705 18.8198 16.1003 34.920100000000005 2686.0261 20.505 0.014318 0.0 0.0 1.0 1.0 2.33 0.0 0.0 4.397 0.0 0.0 4.181 7.552 False
0_1076425 69.0631 21.261 17.6493 14.8373 32.4866 8100.3428 25.696 0.015391 0.0 0.0 1.0 1.0 2.369 0.0 -0.0 4.105 0.0 0.0 4.346 7.949 False
0_1086503 116.783 35.6811 25.3518 21.3798 46.7316 9648.8936 35.3 0.010699 0.0 0.0 1.0 1.0 1.675 -0.0 0.0 2.916 0.0 0.0 3.739 6.495 False
0_1130303 68.705 31.9837 17.4046 5.0838 22.4884 2171.0642 669.98 0.99576 0.0 65.0632 1.0 -0.1803 0.6748 -0.0 -0.0 22.34 -3.236 -0.8429 4.356 6.829 True
0_1138469 101.0043 30.6569 23.5565 19.2735 42.83 12683.4121 35.441 0.011674 0.0 0.0 1.0 1.0 1.833 -0.0 -0.0 3.082 -0.0 -0.0 3.858 6.84 False
0_1144074 87.4164 26.7637 20.8488 17.5724 38.4212 4732.2598 25.398 0.013014 0.0 0.0 1.0 1.0 2.099 0.0 -0.0 3.792 -0.0 0.0 4.018 7.194 False
0_1149414 77.3449 24.8678 19.2681 16.3936 35.661699999999996 7628.752 27.143 0.014021 0.0 0.0 1.0 1.0 2.166 0.0 -0.0 3.791 0.0 -0.0 4.171 7.478 False
0_1190761 82.6273 26.3282 20.3858 17.1254 37.5112 11348.9268 31.205 0.013329 0.0 0.0 1.0 1.0 2.041 0.0 0.0 3.468 -0.0 0.0 4.081 7.295 False
